Timestamp,Gender,Date_Of_Birth,Age,Age_Group,Aptitude,Parents_Education_Encoded,Family_Lifestyle_Encoded,Math,English,Bio,Chemistry,Physics,ICT,Business,Average_Score,if_HS_Student,Study_Method,Study_Habit,English_Proficiency,IELTS_Score,Favorite_Subject,Career_Interest,Personality_Trait,Address,Study_Country,Chosen_University,Influence,Building miniatures / models,DIY projects,Debate / Public Speaking,Hackathons / App development projects,Programming / coding clubs,Science clubs,Student Council / Leadership Roles,"Volunteering at hospitals, clinics, or NGOs",DIY / Project recognition,Debate / Public Speaking awards,Hackathon / App competition prize,Model building recognition,Other (please specify),Programming / Coding award,Science fair / Olympiad prize,Student Council / Leadership role,Volunteering recognition
2025/10/01 12:29:52 PM GMT+6:30,Male,2000-10-24,25.0,20-to-30,9–10 → Exceptional aptitude,1,2.0,96.0,79.0,88.0,76.0,67.0,79.0,99.0,83.42857142857143,yes,Self-study,3–4 hours,Advanced,8.5,ICT,2,ISFJ,Pyin Oo Lwin ,Canada,NUS,Internal,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
2025/10/01 12:29:59 PM GMT+6:30,Female,2011-07-23,14.0,10-to-15,4–6 → Medium aptitude,0,1.0,90.0,90.0,80.0,80.0,76.0,70.0,70.0,79.42857142857143,yes,Self-study,1–2 hours,Beginner,0.0,English,3,ISFP,mandalay,USA,,External,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025/10/01 12:30:06 PM GMT+6:30,Male,2025-10-14,17.0,15-to-20,7–8 → High aptitude,1,2.0,75.0,67.0,64.0,59.0,69.0,70.0,70.0,67.71428571428571,yes,Tuition / Extra Classes,2–3 hours,Intermediate,0.0,Math,0,INFJ,Globel Pathways International School,USA,,External,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2025/10/01 12:30:33 PM GMT+6:30,Male,2025-10-01,17.0,15-to-20,4–6 → Medium aptitude,1,2.0,80.0,60.0,75.0,55.0,40.0,50.0,55.0,59.285714285714285,yes,Self-study,2–3 hours,Intermediate,40.0,Physics,3,ISFJ,63b,Canada,GPIS,Internal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025/10/01 12:33:10 PM GMT+6:30,Female,2008-03-28,17.0,15-to-20,4–6 → Medium aptitude,0,1.0,56.0,66.0,87.0,78.0,44.0,26.0,76.0,61.857142857142854,no,Self-study,1–2 hours,Beginner,0.0,Chemistry,1,INFP,Mandalay,Thailand,Chula,Internal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025/10/01 12:33:12 PM GMT+6:30,Female,2008-12-01,17.0,15-to-20,9–10 → Exceptional aptitude,0,2.0,66.0,68.0,58.0,60.0,50.0,50.0,98.0,64.28571428571429,no,Self-study,1–2 hours,Intermediate,0.0,English,0,INFP,Mandalay,UK;USA;Canada,NYU,Internal,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2025/10/01 12:33:24 PM GMT+6:30,Female,2006-03-28,19.0,15-to-20,7–8 → High aptitude,1,1.0,90.0,85.0,85.0,90.0,87.0,70.0,65.0,81.71428571428571,no,Tuition / Extra Classes,2–3 hours,Intermediate,0.0,ICT,1,ENFJ,mandalay,UK,,Internal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
2025/10/01 12:35:58 PM GMT+6:30,Female,2009-08-03,16.0,15-to-20,7–8 → High aptitude,1,2.0,65.0,72.0,83.0,78.0,68.0,80.0,94.0,77.14285714285714,yes,Self-study,2–3 hours,Intermediate,0.0,Science,2,ESTJ,Mandalay,Thailand,Chula,Internal,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
2025/10/01 12:36:14 PM GMT+6:30,Male,2004-07-21,21.0,20-to-30,7–8 → High aptitude,1,1.0,79.0,80.0,85.0,89.0,90.0,90.0,80.0,84.71428571428571,no,Self-study,1–2 hours,Intermediate,0.0,ICT,1,ENFJ,mandalay,Thailand,aumit,External,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
2025/10/01 12:37:18 PM GMT+6:30,Female,2001-03-07,24.0,20-to-30,4–6 → Medium aptitude,0,2.0,74.0,63.0,73.0,74.0,71.0,70.0,60.0,69.28571428571429,yes,Self-study,2–3 hours,Intermediate,0.0,Math,0,INTJ,Mandalay,UK,,Internal,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2025/10/01 12:37:48 PM GMT+6:30,Male,2006-03-04,19.0,15-to-20,7–8 → High aptitude,0,2.0,60.0,70.0,50.0,60.0,75.0,66.0,67.0,64.0,yes,Group study,1–2 hours,Advanced,0.0,Science,3,ENTJ,Mandalay,UK;USA,NYU,Internal,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2025/10/01 12:39:08 PM GMT+6:30,Male,1997-01-17,28.0,20-to-30,7–8 → High aptitude,1,1.0,80.0,70.0,60.0,60.0,72.0,80.0,94.0,73.71428571428571,yes,Self-study,Less than 1 hour,Intermediate,6.5,Business,0,ENTP,Singapore,Singapore,Edinburgh Napier University ,Internal,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2025/10/01 12:39:32 PM GMT+6:30,Male,2025-10-27,17.0,15-to-20,7–8 → High aptitude,1,0.0,77.0,67.0,65.0,59.0,76.0,68.0,77.0,69.85714285714286,yes,Self-study,2–3 hours,Intermediate,0.0,Business,0,ENFJ,GPIS,USA,Yale University,External,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2025/10/01 12:39:48 PM GMT+6:30,Male,2010-03-18,15.0,10-to-15,7–8 → High aptitude,1,2.0,90.0,95.0,40.0,50.0,85.0,90.0,50.0,71.42857142857143,yes,Tuition / Extra Classes,Less than 1 hour,Advanced,0.0,English,1,INTJ,GPIS,USA;Thailand,chula universities,Internal,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2025/10/01 12:40:23 PM GMT+6:30,Male,2025-09-01,17.0,15-to-20,9–10 → Exceptional aptitude,1,1.0,82.0,88.0,0.0,0.0,78.0,40.0,70.0,71.6,yes,Self-study,1–2 hours,Intermediate,0.0,Physics,3,INFP,GPIS,USA;Singapore;Thailand,University of Melbourne,External,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2025/10/01 12:40:29 PM GMT+6:30,Female,2008-03-31,17.0,15-to-20,7–8 → High aptitude,1,1.0,90.0,56.0,70.0,80.0,69.0,99.0,97.0,80.14285714285714,yes,Group study,3–4 hours,Advanced,0.0,Science,3,ISFJ,Mandalay,Thailand,Mahidol,Internal,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
2025/10/01 12:40:57 PM GMT+6:30,Male,2025-10-01,17.0,15-to-20,4–6 → Medium aptitude,1,1.0,80.0,70.0,75.0,50.0,60.0,50.0,40.0,60.714285714285715,yes,Self-study,2–3 hours,Intermediate,0.0,Math,3,INFJ,63b,Canada,Mastersportal,External,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2025/10/01 12:41:03 PM GMT+6:30,Male,2002-05-09,23.0,20-to-30,7–8 → High aptitude,0,1.0,60.0,70.0,45.0,70.0,65.0,0.0,0.0,62.0,no,Self-study,Less than 1 hour,Beginner,0.0,Science,3,ENTJ,mandalay,Thailand,mhidol,External,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2025/10/01 12:42:13 PM GMT+6:30,Male,2010-06-25,15.0,10-to-15,7–8 → High aptitude,1,2.0,75.0,90.0,0.0,0.0,70.0,40.0,90.0,73.0,yes,Tuition / Extra Classes,2–3 hours,Advanced,0.0,Business,0,INTP,Gpis,USA,,External,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025/10/01 12:42:24 PM GMT+6:30,Female,2008-03-01,17.0,15-to-20,7–8 → High aptitude,0,1.0,100.0,98.0,98.0,99.0,99.0,96.0,100.0,98.57142857142857,yes,Tuition / Extra Classes,3–4 hours,Advanced,0.0,English,0,INFP,SFU,UK,,Internal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025/10/01 12:42:24 PM GMT+6:30,Male,2005-02-02,20.0,15-to-20,4–6 → Medium aptitude,1,1.0,80.0,75.0,76.0,60.0,74.0,91.0,83.0,77.0,no,Self-study,2–3 hours,Advanced,0.0,Science,1,ENTP,Yangon,USA,Stanford University,Internal,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
2025/10/01 12:43:18 PM GMT+6:30,Male,2007-04-09,18.0,15-to-20,7–8 → High aptitude,1,1.0,67.0,88.0,0.0,0.0,70.0,40.0,75.0,68.0,yes,Tuition / Extra Classes,1–2 hours,Advanced,0.0,Physics,1,INTJ,Global Path Way International School,UK,,External,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
